url,section,title
https://docs-site-koreai.vercel.app/,Home,Kore.ai Platform Documentation
https://docs-site-koreai.vercel.app/agent-platform,Agent Platform,Agent Platform Overview
https://docs-site-koreai.vercel.app/agent-platform/quickstart,Agent Platform,Quickstart
https://docs-site-koreai.vercel.app/agent-platform/concepts,Agent Platform,Core Concepts
https://docs-site-koreai.vercel.app/agent-platform/agents,Agent Platform,Agents
https://docs-site-koreai.vercel.app/agent-platform/agents/create,Agent Platform,Create Agent
https://docs-site-koreai.vercel.app/agent-platform/agents/instructions,Agent Platform,Agent Instructions
https://docs-site-koreai.vercel.app/agent-platform/orchestration,Agent Platform,Orchestration
https://docs-site-koreai.vercel.app/agent-platform/orchestration/single-agent,Agent Platform,Single Agent
https://docs-site-koreai.vercel.app/agent-platform/orchestration/supervisor,Agent Platform,Supervisor Mode
https://docs-site-koreai.vercel.app/agent-platform/orchestration/adaptive-network,Agent Platform,Adaptive Network
https://docs-site-koreai.vercel.app/agent-platform/tools,Agent Platform,Tools
https://docs-site-koreai.vercel.app/agent-platform/tools/calling,Agent Platform,Tool Calling
https://docs-site-koreai.vercel.app/agent-platform/tools/workflow,Agent Platform,Workflow Tools
https://docs-site-koreai.vercel.app/agent-platform/tools/code,Agent Platform,Code Tools
https://docs-site-koreai.vercel.app/agent-platform/tools/nodes,Agent Platform,Tool Nodes
https://docs-site-koreai.vercel.app/agent-platform/tools/mcp,Agent Platform,MCP Integration
https://docs-site-koreai.vercel.app/agent-platform/knowledge,Agent Platform,Knowledge
https://docs-site-koreai.vercel.app/agent-platform/memory,Agent Platform,Memory
https://docs-site-koreai.vercel.app/agent-platform/prompts,Agent Platform,Prompts
https://docs-site-koreai.vercel.app/agent-platform/models,Agent Platform,Models
https://docs-site-koreai.vercel.app/agent-platform/guardrails,Agent Platform,Guardrails
https://docs-site-koreai.vercel.app/agent-platform/evaluation,Agent Platform,Evaluation
https://docs-site-koreai.vercel.app/agent-platform/analytics,Agent Platform,Analytics
https://docs-site-koreai.vercel.app/agent-platform/dialog-agents,Agent Platform,Dialog Agents
https://docs-site-koreai.vercel.app/agent-platform/deploy,Agent Platform,Deployment
https://docs-site-koreai.vercel.app/agent-platform/deploy/import-export,Agent Platform,Import & Export
https://docs-site-koreai.vercel.app/agent-platform/deploy/diagnostics,Agent Platform,Diagnostics
https://docs-site-koreai.vercel.app/agent-platform/api,Agent Platform,API Reference
https://docs-site-koreai.vercel.app/agent-platform/integrations/voice,Agent Platform,Voice Integration
https://docs-site-koreai.vercel.app/ai-for-work,AI for Work,AI for Work Overview
https://docs-site-koreai.vercel.app/ai-for-work/getting-started,AI for Work,Getting Started
https://docs-site-koreai.vercel.app/ai-for-work/custom-agents,AI for Work,Custom Agents
https://docs-site-koreai.vercel.app/ai-for-work/prebuilt-agents,AI for Work,Pre-built Agents
https://docs-site-koreai.vercel.app/ai-for-work/solutions,AI for Work,Solutions
https://docs-site-koreai.vercel.app/ai-for-work/analytics,AI for Work,Analytics
https://docs-site-koreai.vercel.app/ai-for-work/security,AI for Work,Security
https://docs-site-koreai.vercel.app/ai-for-work/administration,AI for Work,Administration
https://docs-site-koreai.vercel.app/ai-for-service,AI for Service,AI for Service Overview
https://docs-site-koreai.vercel.app/ai-for-service/getting-started,AI for Service,Getting Started
https://docs-site-koreai.vercel.app/ai-for-service/automation,AI for Service,Automation AI
https://docs-site-koreai.vercel.app/ai-for-service/search,AI for Service,Search AI
https://docs-site-koreai.vercel.app/ai-for-service/agent-ai,AI for Service,Agent AI
https://docs-site-koreai.vercel.app/ai-for-service/quality,AI for Service,Quality AI
https://docs-site-koreai.vercel.app/ai-for-service/channels,AI for Service,Channels
https://docs-site-koreai.vercel.app/ai-for-service/flows,AI for Service,Flows
https://docs-site-koreai.vercel.app/ai-for-service/integrations,AI for Service,Integrations
https://docs-site-koreai.vercel.app/ai-for-service/administration,AI for Service,Administration
https://docs-site-koreai.vercel.app/ai-for-service/contact-center,AI for Service,Contact Center AI
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/agent-console,AI for Service,Agent Console
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/routing,AI for Service,Routing
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/queues,AI for Service,Queue Management
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/skills,AI for Service,Skills
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/supervisor,AI for Service,Supervisor Tools
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/campaigns,AI for Service,Campaigns
https://docs-site-koreai.vercel.app/ai-for-service/contact-center/case-management,AI for Service,Case Management
https://docs-site-koreai.vercel.app/ai-for-process,AI for Process,AI for Process Overview
https://docs-site-koreai.vercel.app/ai-for-process/getting-started,AI for Process,Getting Started
https://docs-site-koreai.vercel.app/ai-for-process/workflows,AI for Process,Workflows
https://docs-site-koreai.vercel.app/ai-for-process/nodes,AI for Process,Nodes
https://docs-site-koreai.vercel.app/ai-for-process/prompts,AI for Process,Prompts
https://docs-site-koreai.vercel.app/ai-for-process/models,AI for Process,Models
https://docs-site-koreai.vercel.app/ai-for-process/inbox,AI for Process,Inbox
https://docs-site-koreai.vercel.app/ai-for-process/administration,AI for Process,Administration
